x,y
14.452201,47.374195
4.138188,7.3629537
11.6104555,16.517042
7.3288527,24.045029
14.673833,59.87293
7.1351604,30.718279
1.3722763,24.6866
9.123676,4.0614667
4.0390277,4.2529655
8.070251,0.95466614
8.986767,5.526939
11.932937,29.464125
3.995314,5.5914264
14.187693,58.23687
2.81498,18.80069
14.80324,61.864834
5.778342,6.358218
10.15489,3.119586
9.926837,5.5375075
7.6350036,18.348007
3.8046608,10.255635
2.2179213,25.934109
0.4758516,47.953056
0.0850001,50.945553
0.5859527,45.44336
12.984039,42.650803
8.223761,8.482317
9.330981,8.451168
13.946069,42.269356
2.730284,21.094536
12.730469,22.941563
3.3686419,10.357712
13.608456,47.191982
12.740999,24.050587
6.955195,17.028545
9.696718,3.528574
11.565952,14.177492
8.838856,3.205937
10.738524,9.881697
8.359893,6.6443057
13.880978,34.361916
11.817561,32.32416
12.818018,44.27547
2.6015255,19.428404
6.7009163,32.625774
6.6987042,26.52695
4.115999,-1.9580173
8.82387,-1.5310826
8.184499,10.629308
0.3128001,37.001736
2.7125654,25.888332
7.557199,13.339895
3.1087902,19.385786
0.6873232,37.316563
2.985777,22.116762
10.038441,7.817338
8.088477,15.904946
5.677555,9.708193
8.219353,9.638479
10.643532,6.3764133
1.7244575,29.487116
2.1511765,25.755428
2.2248592,26.39865
6.268612,18.480755
4.147665,12.905602
13.174538,38.438755
2.152531,26.498898
10.422714,13.597115
10.742942,5.0779333
2.930739,8.029121
8.817302,1.8216457
10.654514,24.818808
5.592002,3.6941211
2.5253515,27.660881
14.164179,60.021793
6.6230884,24.734447
4.628851,5.8369994
1.5773875,28.378395
13.208918,39.46786
0.4658094,52.577164
14.807067,64.69428
10.692709,8.302477
6.2714534,18.238049
4.8290644,6.7200737
2.7687612,21.48379
1.9342294,28.13352
7.426018,27.267792
3.5719137,7.9573007
6.1234083,11.763918
2.335505,22.702358
4.3972,-2.2394776
7.3778577,23.9043
10.931819,14.2133
5.177201,-4.7791276
9.594428,5.90539
3.0234995,18.32986
9.236697,-8.886754
6.043033,6.255904
14.762154,57.330505
14.929697,77.47614
11.475201,25.37355
14.88848,69.8074
11.218662,5.916439
14.51645,58.346973
5.8967724,9.523624
12.36527,29.86282
8.331571,15.24242
14.1250105,47.973568
3.0255282,17.964703
2.9123318,17.387989
13.748403,49.054203
0.6324157,52.26271
6.3303165,13.447297
14.199705,61.36989
3.3188634,8.913017
6.4417334,30.93124
12.89011,34.61864
0.22085041,45.918377
6.864144,27.694056
3.2441962,17.010994
10.397248,16.736427
3.5125647,3.7511854
1.3040954,36.69041
9.845656,8.477885
13.684704,42.652126
4.2760983,11.776519
14.792007,61.525482
0.62880635,44.353214
3.251381,6.012192
13.186777,33.474297
7.009259,25.714525
6.4100037,26.046669
4.3184414,8.445305
13.500415,43.58417
2.9641209,10.34309
11.677026,20.825834
2.6409764,19.901628
3.3929138,12.4162655
7.2605057,33.864697
4.1405277,9.776818
6.479788,20.70117
10.786308,17.31723
7.1851177,34.930622
9.623293,1.214047
9.187874,13.53961
0.6982729,50.453953
13.834444,47.184002
7.115883,32.219692
4.724215,1.0247879
7.972564,9.318908
6.0469847,9.412191
12.678071,30.051376
6.170041,5.6800222
5.157735,6.287407
7.853451,20.939861
12.021014,15.568081
14.995375,61.42027
10.631226,15.200745
13.000472,32.486843
2.2566113,35.056488
3.4582024,19.293903
11.278484,17.785059
14.018978,51.459885
5.201441,5.0749516
12.562274,36.014687
5.885812,0.8682833
2.3843927,16.654856
2.6781929,22.805618
14.623123,58.695774
2.3864758,25.48132
7.5047035,19.205568
8.165725,13.241617
6.901602,24.354588
2.8714166,19.589766
7.279855,23.278149
5.468063,9.107706
5.138847,3.7517674
14.829928,57.680996
5.779152,6.0457563
5.2608604,3.017102
1.4370418,19.934929
14.647646,59.238785
6.1702366,14.6185255
14.534006,66.48952
3.1604514,19.059425
11.738041,36.576572
1.1151812,31.94172
9.076363,8.184671
8.891033,4.8695636
3.733079,14.160521
10.080086,12.98098
1.0985845,39.189686
9.16431,0.72744703
14.95093,52.92697
14.402025,49.813396
10.492884,11.073469
8.920378,-4.410733
10.808076,25.73768
11.393161,23.973942
2.9699824,26.009737
5.8357816,1.5779557
4.467324,1.5914726
10.831542,2.264761
14.01839,40.185913
11.5618105,20.536997
13.294284,30.629026
3.612162,16.556744
8.884457,7.6102505
2.1147368,19.212246
3.0054715,16.429071
0.10562718,53.3216
14.049532,54.0711
13.163899,38.89197
