x,y
0.2914152,0.19392326
2.9401703,0.6272504
11.9793415,0.12029308
12.915598,0.26964018
7.962676,0.16311741
12.770477,0.2182723
13.292793,0.3992418
16.167614,0.09472491
19.659704,0.027689662
-0.08777189,0.11979589
23.501427,0.080290556
-2.3579078,-0.00953749
-1.7420924,0.022632973
8.864538,0.14643255
1.4882011,0.40916938
24.182394,-0.032891102
14.946409,0.29201448
11.431829,0.06509324
15.7882805,0.28543285
7.5599966,0.26837677
2.508204,0.59605414
22.43091,0.071309276
11.96755,0.12423896
-0.8097153,0.12713234
4.2658596,0.5979485
17.077581,0.04901013
10.757057,-0.040234745
11.811386,0.14154941
15.2613125,0.20612809
2.780643,0.62718993
20.042976,-0.07277815
10.373206,0.027621336
1.6449351,0.413621
21.076263,0.014074335
14.497881,0.26822448
4.2839317,0.69392836
-3.7768805,-0.023494933
-2.1174014,0.05940036
8.244568,0.09793934
8.527474,0.041934766
-0.24710083,0.1631433
15.932262,0.13924874
18.454554,-0.069044404
6.4509478,0.39655578
4.830205,0.71742535
15.110373,0.2593865
14.421904,0.23910195
0.95489216,0.33912867
20.61243,-0.0081882
-0.6306639,0.12454495
22.532242,0.01480118
1.3806124,0.37151694
7.965287,0.2015433
-4.374627,-0.055042133
16.683176,0.025272477
23.584095,-0.038607396
5.103325,0.5776413
20.524368,-0.044584587
0.46587896,0.23620106
9.528732,-0.002221521
-0.19528913,0.13595429
13.8749695,0.24894689
-3.0899506,-0.008800277
16.346386,0.12866834
8.297697,0.14239237
16.255943,0.078071296
20.853823,0.0007531666
10.227396,-0.002890639
12.298111,0.15232341
22.947735,-0.067682445
13.990858,0.31401408
13.521177,0.29114127
15.836849,0.16426834
15.699863,0.17161317
-2.94769,0.04022015
17.39536,0.03354853
4.8089924,0.6411263
-1.5951681,0.11283626
9.027422,0.14075898
10.650809,0.11173679
16.91742,-0.007885497
2.9749494,0.6978791
11.903139,0.120668404
8.369762,0.21833146
8.250805,0.1194489
-0.3503461,0.1139048
18.85291,0.09446493
2.4690619,0.59403515
17.825523,0.07046154
18.932606,0.0038192489
2.2851586,0.51309735
12.807623,0.16882297
4.303385,0.7467089
17.332136,0.0473821
17.996157,0.005694415
-0.61763525,0.10498001
6.031021,0.5342265
20.472187,-0.036915734
14.342886,0.3921929
24.718115,0.002386766
8.815075,-0.0048489273
5.2500744,0.60609275
20.715246,0.033500057
21.522078,-0.023743143
4.4137306,0.62625015
-0.40038347,0.044542715
9.506541,0.033300556
15.84981,0.094291724
16.575676,-0.008681834
18.838892,0.11167255
6.9849005,0.35377306
23.98889,-0.013149938
19.778522,0.076010354
23.512917,0.009970625
20.970186,0.06827597
4.7056036,0.71413517
3.927023,0.6839618
-0.4457326,0.1588977
-2.4319477,0.087743
5.4873867,0.58784395
22.949032,0.117041
20.5437,0.009207406
23.069403,-0.0032051315
-2.861271,-0.026082367
24.084822,0.10887127
10.776314,-0.026335157
-1.6650772,0.09265677
18.423676,0.17606112
5.4204073,0.5600296
0.023929596,0.18926921
23.186073,0.08167906
20.492245,0.034400593
-4.1118345,0.09628699
11.476507,0.11720778
11.82037,0.14331633
-3.7734902,-0.14695653
7.2190647,0.28932887
12.552557,0.18414186
10.019827,0.03749466
-0.24856853,0.034276024
4.7315426,0.65180856
22.570671,-0.04059218
-0.7058549,0.18189785
19.429989,0.09345095
19.161238,0.088971
-0.43110895,0.14104635
14.007135,0.20911916
12.020407,0.20450757
3.9898777,0.7489862
22.97406,0.06220009
20.736795,0.042917065
17.092102,0.06787869
18.248308,0.050610192
3.6451302,0.66426843
12.449354,0.19725055
-4.6195483,-0.05647208
6.9516296,0.33156645
-4.232035,-0.073058814
-3.3093123,0.016325332
16.023647,0.13858683
23.041094,0.041408014
10.019406,0.054165952
6.1410866,0.47835553
23.575766,-0.1267734
8.233815,0.14699706
7.524126,0.29027605
19.495071,-0.0455534
-4.6789217,0.0305213
12.856714,0.28191668
18.768557,0.075302005
14.878117,0.17026079
23.347858,-0.088705204
19.454836,0.0031267088
0.51912785,0.23750049
1.2963605,0.30203333
16.854256,0.059004467
14.255989,0.3052479
17.543665,0.035702605
21.493229,-0.0137922205
-2.8582811,0.039003298
7.746215,0.17377515
0.61418533,0.27940923
12.417431,0.21602339
9.835772,0.08658302
4.9258957,0.70782727
14.008156,0.25997955
-2.405138,0.084909715
-2.9767294,0.051870078
8.538496,0.17156917
24.516756,0.039168302
-3.922081,0.042108074
23.260115,-0.093509085
-0.18614817,0.1854881
21.834604,0.03919877
6.741992,0.40689498
8.399624,0.11872888
22.860054,-0.022369176
4.559636,0.7386468
-2.3632507,0.09733164
22.910713,0.081658214
